ID,Delivery_person_ID,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_taken(min),distance
2784,PUNERES13DEL03,18.56245,73.916619,18.65245,74.006619,21,13.787860239172547
689B,PUNERES20DEL01,18.592718,73.773572,18.702718,73.883572,40,16.849939918016496
36B8,PUNERES19DEL02,18.563934,73.915367,18.643935,73.995367,36,12.256076445468295
3C5E,PUNERES04DEL01,18.51421,73.838429,18.62421,73.948429,12,16.85361872985359
30C8,PUNERES19DEL02,18.563934,73.915367,18.693935,74.045367,30,19.914686965545187
B843,PUNERES02DEL01,18.55144,73.804855,18.62144,73.874855,22,10.724517748046024
B3A0,PUNERES18DEL01,18.593481,73.785901,18.633481,73.825901,10,6.127835452844327
1609,PUNERES02DEL01,18.55144,73.804855,18.59144,73.844855,17,6.128551257919138
837C,PUNERES14DEL02,18.516216,73.842527,18.566216,73.892527,28,7.661331134220826
2558,PUNERES17DEL01,18.530963,73.828972,18.640963,73.938972,19,16.852834881460105
4460,PUNERES09DEL02,18.536562,73.896485,18.556562,73.916485,18,3.0644871057616703
1EC7,PUNERES05DEL03,18.543626,73.905101,18.573626,73.935101,19,4.596576884051942
5397,PUNERES18DEL01,18.593481,73.785901,18.663481,73.855901,33,10.723264172167632
63A9,PUNERES17DEL03,18.530963,73.828972,18.590963,73.888972,11,9.193093962702912
7A1F,PUNERES19DEL03,18.563934,73.915367,18.653934,74.005367,46,13.787803344501583
46FD,PUNERES09DEL03,18.536562,73.896485,18.596562,73.956485,25,9.192951167083441
5912,PUNERES18DEL01,18.593481,73.785901,18.603481,73.795901,19,1.5320227740641719
1B50,PUNERES16DEL01,18.536718,73.830327,18.646718,73.940327,43,16.85256546543028
9E8A,PUNERES05DEL02,18.543626,73.905101,18.623626,73.985101,16,12.256687342592269
970A,PUNERES12DEL02,18.520016,73.830547,18.570016,73.880547,30,7.661250453808297
9BF9,PUNERES19DEL01,18.563934,73.915367,18.603935,73.955367,37,6.12841937845769
2185,PUNERES12DEL01,18.520016,73.830547,18.630016,73.940547,26,16.853347148215086
A64C,PUNERES12DEL01,18.520016,73.830547,18.530016,73.840547,25,1.5323350156090414
7725,PUNERES12DEL01,18.520016,73.830547,18.630016,73.940547,31,16.853347148215086
6EDB,PUNERES06DEL01,18.546258,73.904337,18.656258,74.014337,31,16.852118690780628
1DB4,PUNERES17DEL03,18.530963,73.828972,18.590963,73.888972,28,9.193093962702912
4AC4,PUNERES11DEL03,18.533811,73.899315,18.623811,73.989315,30,13.788957415778517
7573,PUNERES19DEL02,18.563934,73.915367,18.643935,73.995367,19,12.256076445468295
A20A,PUNERES13DEL03,18.56245,73.916619,18.65245,74.006619,28,13.787860239172547
5561,PUNERES010DEL01,18.539299,73.897902,18.609299,73.967902,35,10.724879289478304
BBC6,PUNERES04DEL01,18.51421,73.838429,18.62421,73.948429,16,16.85361872985359
6436,PUNERES07DEL01,18.546947,73.900626,18.656947,74.010626,34,16.85208641567295
A3A6,PUNERES04DEL03,18.51421,73.838429,18.60421,73.928429,36,13.789707457540985
57CE,PUNERES11DEL02,18.533811,73.899315,18.583811,73.949315,24,7.660957436559021
7096,PUNERES01DEL03,18.569156,73.774723,18.629156,73.834723,21,9.192119121311745
9B27,PUNERES18DEL03,18.593481,73.785901,18.623481,73.815901,11,4.595940524023754
56AA,PUNERES15DEL01,18.636215,73.751081,18.646215,73.761081,24,1.5318406299867455
A635,PUNERES14DEL01,18.516216,73.842527,18.586216,73.912527,33,10.725566076623075
A077,PUNERES02DEL01,18.55144,73.804855,18.62144,73.874855,45,10.724517748046024
7B54,PUNERES010DEL01,18.539299,73.897902,18.609299,73.967902,13,10.724879289478304
4CCE,PUNERES12DEL01,18.520016,73.830547,18.530016,73.840547,10,1.5323350156090414
2C5A,PUNERES19DEL02,18.563934,73.915367,18.693935,74.045367,37,19.914686965545187
41F5,PUNERES12DEL02,18.520016,73.830547,18.540016,73.850547,16,3.064627592336888
5.3E+08,PUNERES06DEL02,18.546258,73.904337,18.676258,74.034337,26,19.915585713443292
2668,PUNERES09DEL01,18.536562,73.896485,18.576562,73.936485,14,6.128804224238058
B9D7,PUNERES02DEL01,18.55144,73.804855,18.56144,73.814855,19,1.5322015943257514
AE81,PUNERES15DEL01,18.636215,73.751081,18.676215,73.791081,21,6.127106344248052
96C3,PUNERES15DEL01,18.636215,73.751081,18.706215,73.821081,36,10.721987300671117
9BFD,PUNERES09DEL02,18.536562,73.896485,18.586562,73.946485,25,7.660898979387872
340D,PUNERES07DEL02,18.546947,73.900626,18.596947,73.950626,25,7.660678233235288
B76A,PUNERES06DEL03,18.546258,73.904337,18.606258,73.964337,18,9.192703790075944
44BC,PUNERES02DEL02,18.55144,73.804855,18.68144,73.934855,22,19.915298664494234
218D,PUNERES12DEL01,18.520016,73.830547,18.530016,73.840547,16,1.5323350156090414
AFD7,PUNERES17DEL03,18.530963,73.828972,18.560963,73.858972,23,4.596738270616882
293C,PUNERES08DEL03,18.53408,73.89852,18.59408,73.95852,33,9.193014472266961
